Business,Service,Original Service Name,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,
Nailtastic Salon,Acrylic Gel Full-Set,Gel Full Set,,Acrylic Gel Full-Set,Acrylic,Nails,,25,
Nailtastic Salon,Acrylic Gel Full-Set,Full Set w/ Gel Polish,,Acrylic Gel Full-Set,Acrylic,Nails,,35,
Oliviana Nail Spa,Acrylic Gel Full-Set,Acryllic Full set Gel,,Acrylic Gel Full-Set,Acrylic,Nails,,35+,
Pampered Hands Salon,Acrylic Gel Full-Set,Acrylllic new set gel,,Acrylic Gel Full-Set,Acrylic,Nails,,45,
Super Nails & Spa,Acrylic Gel Full-Set,Gel Full Set,,Acrylic Gel Full-Set,Acrylic,Nails,,45,
Sutter Nails,Acrylic Gel Full-Set,Gel Acrylic Full-Set,,Acrylic Gel Full-Set,Acrylic,Nails,,60,
Sydney Nail Spa,Acrylic Gel Full-Set,Color Gel Full Set,,Acrylic Gel Full-Set,Acrylic,Nails,,60,
7 Nail Spa,Acrylic Pink & White Fill,Pink & White Fill,,Pink and white Fill,Pink and white,Nails,,30+,
7 Nail Spa,Acrylic Pink & White Fill,Pink & White Fill,,Pink and white Fill,Pink and white,Nails,,30,
Lucky Nails,Acrylic Pink & White Fill,Pink & White (Full in),,,,Nails,,60,
Nail Arts,Acrylic Pink & White Fill,Pink & White Fill,,Pink and white Refill,Pink and white powder,Nails,,40+,
Nail Today,Acrylic Pink & White Fill,Fill in Pink & White,,Acrylic French Fill,Acrylic,Nails,,40+,
Nailtastic Salon,Acrylic Pink & White Fill,Pink and White Fill,,Acrylic French Fill,Acrylic,Nails,,30,
New Zen Spa,Acrylic Pink & White Fill,Pink & White Fill,,Pink and white Fill,Acrylic,Nails,,45,
Pampered Hands Salon,Acrylic Pink & White Fill,Acryllic fill in pink & white,,Acrylic French Fill,Acrylic,Nails,,35+,
Royal Thai Spa,Acrylic Pink & White Fill,Pink and white fill in ,,,,Nails,,40,
Super Nails & Spa,Acrylic Pink & White Fill,Pink and white fill in,,Acrylic French Fill,Acrylic,Nails,,40,
Sydney Nail Spa,Acrylic Pink & White Fill,Pink & White + Back Fill,,Acrylic French Fill,Acrylic,Nails,,50,
7 Nail Spa,Acrylic Pink & White Full-Set,Pink & White Full-Set,,Pink and white Full-Set,Pink and white,Nails,,50,
Lucky Nails,Acrylic Pink & White Full-Set,Pink & White (Full Set),,,,Nails,,70,
Nail Arts,Acrylic Pink & White Full-Set,Pink & White Full-Set,,Pink and white Full-Set,Pink and white powder,Nails,,60,
Nail Today,Acrylic Pink & White Full-Set,Full Set Pink & White,,Acrylic French Full-Set,Acrylic,Nails,,30+,
Nail Today,Acrylic Pink & White Full-Set,Full set w/ White tip,,Acrylic French Full-Set,Acrylic,Nails,,45+,
Nailtastic Salon,Acrylic Pink & White Full-Set,Pink and White Full Set,,Acrylic French Full-Set,Acrylic,Nails,,40,
New Zen Spa,Acrylic Pink & White Full-Set,Pink & White Full-Set,,Pink and white Full-Set,Acrylic,Nails,,55,
Pampered Hands Salon,Acrylic Pink & White Full-Set,Acryllic new set pink & white,,Acrylic French Full-Set,Acrylic,Nails,,60,
Richmond Nail Salon,Acrylic Pink & White Full-Set,Pink & white new set ,,,,Nails,,45,
Rosy Heels,Acrylic Pink & White Full-Set,Pink & white new set,,Acrylic French Full-Set,Acrylic,Nails,,60,
Royal Thai Spa,Acrylic Pink & White Full-Set,pink and white full set ,,,,Nails,,50,
Super Nails & Spa,Acrylic Pink & White Full-Set,Pink and white full set,,Acrylic French Full-Set,Acrylic,Nails,,50,
Sydney Nail Spa,Acrylic Pink & White Full-Set,Pink & White Full Set,,Acrylic French Full-Set,Acrylic,Nails,,60,
Thi Spa & Nails,Acrylic Pink & White Full-Set,Acrylic Full Set with removal,,Acrylic French Full-Set,,Nails,,70,
White Daisy Nail Spa,Acrylic Pink & White Full-Set,Pink & White Full-Set,,Acrylic French Full-Set,Acrylic,Nails,,50,
White Daisy Nail Spa,Acrylic Pink & White Full-Set,Gel White & Pink Full-Set,,Acrylic French Full-Set,Acrylic,Nails,,60,
7 Nail Spa,Acrylic Polish Change,Acrylic Polish Change,,Acrylic Polish Change,Polish Change,Nails,,7+,
Nail Arts,Acrylic Refill,Acrylic Refill,,Acrylic Refill,Acrylic,Nails,,25+,
Fingertips Nail Salon,Acrylic Removal,Take Off Fill-in,,Acrylic Removal,Acrylic,Nails,,10,
It's M3 Time Nail Salon,Acrylic Removal,Acrylic Removal,,Acrylic Removal,Acrylic,Nails,,10,
Nail Arts,Acrylic Removal,Acrylic Removal,,Acrylic Removal,Acrylic,Nails,,15,
Nailtastic Salon,Acrylic Removal,Take Off Acryllic,,Acrylic Removal,Acrylic,Nails,,8,
Pampered Hands Salon,Acrylic Removal,Acryllic Take off,,Acrylic Removal,Acrylic,Nails,,35+,
Soubella Nails Spa,Acrylic Removal,Acrylic Removal,,Acrylic Removal,Acrylic,Nails,,15,
Sydney Nail Spa,Acrylic Removal,Acrylic Nail take-off,,Acrylic Removal,Add-on,Nails,,10,
The Bling Bar Nail Salon,Acrylic Removal,Removal & fullset,,,,Nails,,75,
Thi Spa & Nails,Acrylic Removal,Acrylic Removal,,Acrylic Removal,Acrylic,Nails,,35,
Thi Spa & Nails,Acrylic Removal,Acrylic Removal with Gel Manicure,,Acrylic Removal,Acrylic,Nails,,55,
Tiptoes Nail Spa,Acrylic Removal,Acrylic Removal,,Acrylic Removal,Acrylic,Nails,,35,
White Daisy Nail Spa,Acrylic Removal,Acrylic Removal,,Acrylic Removal,Acrylic,Nails,,10,
Fingertips Nail Salon,Acrylic White tip Fill,White tip Acryllic Fill,,Acrylic French Fill,Acrylic,Nails,,30,
Fingertips Nail Salon,Acrylic White tip Full-Set,White Tip Acrylic,,Acrylic French,Acrylic,Nails,,45,
Psoas Massage + Bodywork,Active Release Technique (ART),Active Release Technique (ART) - 30 min,,,,Spa,,110,
Psoas Massage + Bodywork,Active Release Technique (ART),Active Release Technique (ART) - 15 min,,Spa,,Spa,,55,
Pearl Spa & Sauna,Acupressure,Acupressure (60 min),"Acupressure is a method of applying pressure to certain meridian points on the body. It helps relieve tension by loosening tight muscle knots (due to stress, long hours at the office etc). Acupressure is a traditional art of Eastern tissue massage.",,,Spa,,90,
Pearl Spa & Sauna,Acupressure,Acupressure (90 min),"Acupressure is a method of applying pressure to certain meridian points on the body. It helps relieve tension by loosening tight muscle knots (due to stress, long hours at the office etc). Acupressure is a traditional art of Eastern tissue massage.",,,Spa,,120,
Archimedes Banya,Antiaging Facial,Anti-Aging Facial (50 min),"OSEA SEA OF LIFE SIGNATURE FACIAL This unique anti-aging treatment is true refreshment for the face!An in-depth skin analysis addresses both external and internal issues.Once analyzed, the face is then treated with a deep cleanse, followed by oxygen serums and a skin-specific mask. This luxurious Osea experience includes a customized facial and soothing massage to help relieve stress.",Antiaging Facial,Facial,Spa,,95,
Earthbody,Antiaging Facial,Age of Grace (60 min),"A resilient anti-aging facial created to deliver noticeable results for maturing skin.

Defend against premature aging and sun damage with our pure antioxidant facial that honors your age of grace without the harsh chemicals and practices common in most anti-aging facials. Custom tailored with a focus on high antioxidant, high hydration, brightening, and cleansing.

Ideal for: Mature skin, sun damage, and hyperpigmentation.",Antiaging Facial,Facial,Spa,,140,
Eyebrows To Die For,Antiaging Facial,AMAZING SKIN,"This customized facial, soothing eye treatment, and Osmosis Infusion will leave your skin and eyes completely cleansed, nourished, and repaired.  The most complete skin care package.",,,Spa,,165,
Fellow Barber,Antiaging Facial,Benjamin Button Facial,,,,Spa,,25,
Healthy living Spa,Antiaging Facial,Age Defying Treatment (90 min),,Antiaging Facial,Facial,Spa,,95,
John Francis Spa,Antiaging Facial,Myoxy-Caviar Facial (90 min),"The ultimate anti-aging treatment including professional cleansing, gentle exfoliation, deep pore extraction, lavish facial, neck and shoulder massage and concluding with Pevonia�s multi-layered, bi-thermal Myoxy-Caviar Mask. Specifically formulated for prematurely aged skin incorporating a broad spectrum of antioxidants, botanicals and marine amino acids from caviar.",,Facial,Spa,,160,
John Francis Spa,Antiaging Facial,Stem Cells Facial (90 min),"The Stem Cells Facial uses freeze dried Comfrey Root and Argan Tree stem cells and Retinol to deeply hydrate and repair  the dermis and epidermis. This treatment includes professional cleansing, gentle effective enzyme exfoliation, deep pore extraction, lavish facial, neck and shoulder massage, eye zone therapy and Pevonia�s multi-layered, Stem Cells Pyto-Elite mask. Recommended for reduction in wrinkles, improved elasticity, stimulates skin renewal and vitality.",,Facial,Spa,,160,
John Francis Spa,Antiaging Facial,Lumafirm Lift & Glow Facial (75 min),"Firms and tightens loss of elasticity and refines skin texture instantly. Cutting edge encapsulated Biomimetic Liposomes and Microspheres deliver Sorghum, Diacetyl Boldine and Kombucha to repair and redefine facial color and texture. Includes exfoliation, deep pore extraction, eye zone therapy, lavish facial, neck and shoulder massage and multi layered masking.",,Facial,Spa,,145,
Kabuki Springs & Spa,Antiaging Facial,REVITALIZING LIFT,,,,Spa,,165,
La Petite Nail Shop,Antiaging Facial,Antiaging Facial,"Our favorite age defying facial is tailored for mature or hyper-pigmentation skin. Includes a custom peel, pore extractions, facial/scalp massage, & a double facial mask (seaweed/collagen). Super hydrating, brightening & antioxidants leaves skin youthful & radiant.",Antiaging Facial,Facial,Spa,,125,
Lavande Nail Spa,Antiaging Facial,Antiaging Facial,,Antiaging Facial,Facial,Spa,,127,
Lucid Beauty,Antiaging Facial,Ultimate Non Surgical Facelift,,,,Spa,,2950,
Lucid Beauty,Antiaging Facial,Epicuren Facial,"The ultimate anti-age treatment.  A unique formulation of enzymes and proteins used to replenish and energize skin cells. Repairing environmental damage, resulting in more vibrant younger looking skin.?",,,Spa,,195,
Lucid Beauty,Antiaging Facial,Ultimate Non Surgical Facelift,"This series of ten micro current treatments will set muscle tone in place, and create a natural neck and face lift, addresses crepey skin texture, erases fine and deep lines, promotes collagen and elastin production, and speeds up ATP for optimal product absorption.  For best results treatments are performed once to twice a week.

Series of ten treatments $2950

Single treatment $295

Single treatment with extractions $345",,,Spa,,295+,
May's Beauty Skin Care,Antiaging Facial,Eye Care Treatment,,Antiaging Facial,Facial,Spa,,48,
May's Beauty Skin Care,Antiaging Facial,Basic Facial Treatment & Collagen Eye Mask,,Antiaging Facial,Facial,Spa,,78,
May's Beauty Skin Care,Antiaging Facial,Basic Facial Treatment & Collagen Mask,,Antiaging Facial,Facial,Spa,,88,
May's Beauty Skin Care,Antiaging Facial,Ultrasound Beautifying & Collagen Mask,,Antiaging Facial,Facial,Spa,,128,
May's Beauty Skin Care,Antiaging Facial,Ultrasound Tightening Collagen Mask & Eye Care Treatment,,Antiaging Facial,Facial,Spa,,148,
May's Beauty Skin Care,Antiaging Facial,Ultrasound Beautifying Whitening Treatment (80 min),,,Facial,Spa,,88,
Mizu Spa,Antiaging Facial,Antioxidant Vitamin C Facial (60 min),"This anti-aging facial utilizes antioxidants and natural spirulina to combat premature aging, disrupt hyperpigmentation and provide skin with a healthy glow. ",Antiaging Facial,Facial,Spa,,145,
Mizu Spa,Antiaging Facial,Rejuvenating Infusion Facial (60-70 min),"This anti-aging treatment combines hyperbaric oxygen with super concentrated vitamins, and botanically derived hyaluronics for instant hydration, improved firmness, skin density, while revealing luminosity and radiance. ",Antiaging Facial,Facial,Spa,,200,
Qua The Spa at SOMA GRAND,Antiaging Facial,Anti-Aging Oxygen Facial,,,,Spa,,845,
Queen Bee Nail Salon,Antiaging Facial,ageLOC Facial Spa,"Indulge in a luxurious 10-minute spa experience for a more radiant, youthful face",Antiaging Facial,Facial,Spa,,60,
Richmond Serenity Spa,Antiaging Facial,Youth Renewing Facial,"Includes a glycolic peel to resurface, light therapy to even skin pigmentation and promote collagen production, and microcurrents to tone and firm facial muscles and smooth fine lines. The result is
a stunning, healthier, more youthful appearance",,,Spa,,80,
Richmond Serenity Spa,Antiaging Facial,Revitalizing Collagen Facial,"This facial is an exclusive anti-aging, skin renewing treatment that combines a pure native collagen sheet with selected ingredients to provide intense hydration, firms the skin and reduces the appearance of fine lines.",,,Spa,,70,
Richmond Serenity Spa,Antiaging Facial,The Spa Facial,"Experience the ultimate in cellular renewal for all skin conditions with an increased focus on deep exfoliation utilizing glycolic acid. Our spa facial includes a treatment mask selected for your skin's needs. From brightening or calming to anti-aging, these masks accelerate the benefits of your facial resulting in smoother, more radiant looking skin.",,,Spa,,80,
Salon Baobao,Antiaging Facial,Eye Rescue (20 min),"Revive tired eyes by minimizing dark circles, fine lines and puffiness.",Antiaging Facial,Facial,Spa,,30,
SenSpa,Antiaging Facial,SENZEN LIFTING FACIAL,,,,Spa,,210,
Serenity Wellness Spa,Antiaging Facial,DARPHIN Anti-Aging Facial ,"This 80-minute luxurious anti-aging facial from France will transform your skin resulting in firmer, smoother, glowing complexion. This premier treatment involves redefining facial contours using the combined action of massage and an aromatic phyto-drainage process. Together with Darphin�s Age Defying products, two exfoliants and two facial masks your skin will feel nourished and rejuvenated.",,,Spa,,169,
Serenity Wellness Spa,Antiaging Facial,Cinq Mondes � Anti-Aging Facial,"This facial delivers an ultimate luxurious visible lift, while filling in and smoothing wrinkles using the authentic and ancestral Japanese Ko Bi Do Massage Ritual. Enjoy this superbly executed holistic approach with leading naturopathic product ingredient technologies and divine aromatic scents. This facial is visibly one of the most concrete anti-aging alternative solutions to invasive treatments. Your complexion and forgotten neckline instantly regain a prodigious firmer and younger looking appearance.",,,Spa,,139,
Urban Beauty Spa,Antiaging Facial,Tighten + Tone eye mask ,,,,Spa,,20,
Vanity Beauty Lounge,Antiaging Facial,Mini European Facial,"Deep cleanse your skin with 5 important steps; cleanse, exfoliate, massage, mask and moisturize. There are no extractions, which means you can breeze out the door with the perfect pre-party glow.",Antiaging Facial,Facial,Spa,,66,
White Daisy Nail Spa,Antiaging Facial,Antiaging Facial,"Ophthalmology tested all-nature treatment to soothe and refresh the eyes. This calming, anti- aging and revitalizing treatment uses special blends of ginseng, cornflower and chamomile to reduce puffines, diminish dark circles and create an overall feeling of relaxation. May be incorporated with any other facial services.",Antiaging Facial,Facial,Spa,,45,
Lavande Nail Spa,Aromatherapy Facial,Aromatherapy Facial,,Aromatherapy Facial,Facial,Spa,,85,
SenSpa,Aromatherapy Facial,5 SENSES FUSION FACIAL,,,,Spa,,155,
Synergy Mind Body Wellness,Aromatherapy Facial,Aroma Facial ,,,,Spa,,115,
Buddha Bliss Therapeutic Massage,Aromatherapy Massage,Essential Aromatherapy Massage - Student/Senior Discount (60 min),"Experience the ancient art of massage that combines touch with the smell in such a way that it uplifts the soul and heels the body. During this massage, essential oils are used in an effective but gentle massage to induce relaxation, increase energy and reduce stress. 

With soothing massage oils and medium, light to firm intensity strokes, your muscles will be eased into a relaxed state that�ll leave feeling like rejuvenated. 

?We have four unique oil blends for you to choose from for your Aromatherapy massage session.",Aromatherapy Massage,Massage,Spa,88,110,
Buddha Bliss Therapeutic Massage,Aromatherapy Massage,Essential Aromatherapy Massage - Student/Senior Discount (75 min),"Experience the ancient art of massage that combines touch with the smell in such a way that it uplifts the soul and heels the body. During this massage, essential oils are used in an effective but gentle massage to induce relaxation, increase energy and reduce stress. 

With soothing massage oils and medium, light to firm intensity strokes, your muscles will be eased into a relaxed state that�ll leave feeling like rejuvenated. 

?We have four unique oil blends for you to choose from for your Aromatherapy massage session.",Aromatherapy Massage,Massage,Spa,110.40,138,
Buddha Bliss Therapeutic Massage,Aromatherapy Massage,Essential Aromatherapy Massage (90 min) - Student/Senior Discount,"Experience the ancient art of massage that combines touch with the smell in such a way that it uplifts the soul and heels the body. During this massage, essential oils are used in an effective but gentle massage to induce relaxation, increase energy and reduce stress. 

With soothing massage oils and medium, light to firm intensity strokes, your muscles will be eased into a relaxed state that�ll leave feeling like rejuvenated. 

?We have four unique oil blends for you to choose from for your Aromatherapy massage session.",Aromatherapy Massage,Massage,Spa,132,165,
Buddha Bliss Therapeutic Massage,Aromatherapy Massage,Essential Aromatherapy Massage (60 min),"Experience the ancient art of massage that combines touch with the smell in such a way that it uplifts the soul and heels the body. During this massage, essential oils are used in an effective but gentle massage to induce relaxation, increase energy and reduce stress. 

With soothing massage oils and medium, light to firm intensity strokes, your muscles will be eased into a relaxed state that�ll leave feeling like rejuvenated. 

?We have four unique oil blends for you to choose from for your Aromatherapy massage session.",Aromatherapy Massage,Massage,Spa,,110,
Buddha Bliss Therapeutic Massage,Aromatherapy Massage,Essential Aromatherapy Massage (75 min),"Experience the ancient art of massage that combines touch with the smell in such a way that it uplifts the soul and heels the body. During this massage, essential oils are used in an effective but gentle massage to induce relaxation, increase energy and reduce stress. 

With soothing massage oils and medium, light to firm intensity strokes, your muscles will be eased into a relaxed state that�ll leave feeling like rejuvenated. 

?We have four unique oil blends for you to choose from for your Aromatherapy massage session.",Aromatherapy Massage,Massage,Spa,,138,
Buddha Bliss Therapeutic Massage,Aromatherapy Massage,Essential Aromatherapy Massage (90 min),"Experience the ancient art of massage that combines touch with the smell in such a way that it uplifts the soul and heels the body. During this massage, essential oils are used in an effective but gentle massage to induce relaxation, increase energy and reduce stress. 

With soothing massage oils and medium, light to firm intensity strokes, your muscles will be eased into a relaxed state that�ll leave feeling like rejuvenated. 

?We have four unique oil blends for you to choose from for your Aromatherapy massage session.",Aromatherapy Massage,Massage,Spa,,165,
